City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahebourg,-20.4081,57.7,26.25,65,40,4.63,MU,1667886635
1,nome,64.5011,-165.4064,3.04,100,100,9.26,US,1667886635
2,san rafael,-34.6177,-68.3301,22.33,35,100,4.17,AR,1667886636
3,lagoa,39.05,-27.9833,17.2,71,100,7.68,PT,1667886636
4,dunmore town,25.5,-76.65,26.3,73,70,12.61,BS,1667886637
5,albany,42.6001,-73.9662,7.98,62,6,2.24,US,1667886637
6,saskylakh,71.9167,114.0833,-30.52,98,53,2.28,RU,1667886637
7,cape town,-33.9258,18.4232,18.4,80,20,2.06,ZA,1667886421
8,chokurdakh,70.6333,147.9167,-24.39,99,77,4.43,RU,1667886638
9,voskresenskoye,56.8381,45.4317,1.32,96,100,3.43,RU,1667886638
10,rikitea,-23.1203,-134.9692,23.49,89,93,6.07,PF,1667886639
11,bengkulu,-3.8004,102.2655,27.76,73,99,2.95,ID,1667886639
12,leningradskiy,69.3833,178.4167,-7.12,92,100,5.15,RU,1667886639
13,dikson,73.5069,80.5464,-14.97,95,99,3.49,RU,1667886640
14,matagami,49.7502,-77.6328,-1.94,80,100,8.23,CA,1667886455
15,bondoukou,8.0333,-2.8,20.57,71,57,0.79,CI,1667886640
16,meaford,44.6001,-80.583,8.18,63,58,7.45,CA,1667886640
17,la maddalena,41.2142,9.4083,10.03,79,40,2.14,IT,1667886641
18,yellowknife,62.456,-114.3525,-14.69,78,100,1.03,CA,1667886641
19,la macarena,2.1837,-73.7849,23.34,84,99,0.86,CO,1667886642
20,tando jam,25.4272,68.5362,29.41,27,0,4.03,PK,1667886642
21,new norfolk,-42.7826,147.0587,26.06,29,65,0.45,AU,1667886642
22,adrar,20.5022,-10.0711,21.61,18,18,4.37,MR,1667886643
23,arraial do cabo,-22.9661,-42.0278,19.41,82,100,1.92,BR,1667886643
24,tungor,53.3808,142.9564,-4.23,64,58,6.26,RU,1667886644
25,alberdi,-32.8899,-60.6906,16.15,68,0,3.09,AR,1667886644
26,punta arenas,-53.15,-70.9167,10.06,66,40,7.72,CL,1667886411
27,mount gambier,-37.8333,140.7667,25.27,47,0,1.1,AU,1667886644
28,hithadhoo,-0.6,73.0833,28.11,74,26,7.94,MV,1667886645
29,ushuaia,-54.8,-68.3,11.81,47,0,3.09,AR,1667886645
30,luanda,-8.8368,13.2343,25.12,81,100,3.57,AO,1667886646
31,saint marys,30.7305,-81.5465,23.06,84,0,4.63,US,1667886646
32,carroll,39.5501,-77.0164,14.04,36,0,3.09,US,1667886646
33,kapit,2.0167,112.9333,31.98,60,98,1.19,MY,1667886647
34,metro,-5.1131,105.3067,29.11,69,94,1.33,ID,1667886647
35,sao filipe,14.8961,-24.4956,25.21,68,100,2.35,CV,1667886647
36,bredasdorp,-34.5322,20.0403,17.87,61,82,1.82,ZA,1667886648
37,oussouye,12.485,-16.5469,25.04,69,100,3.56,SN,1667886648
38,hilo,19.7297,-155.09,22.92,92,75,2.57,US,1667886616
39,qasigiannguit,68.8193,-51.1922,-22.33,89,14,2.58,GL,1667886648
40,georgetown,5.4112,100.3354,31.96,74,20,4.63,MY,1667886433
41,carnarvon,-24.8667,113.6333,22.13,51,6,6.5,AU,1667886649
42,airai,-8.9266,125.4092,21.76,70,82,0.5,TL,1667886649
43,aklavik,68.2191,-135.0107,-15.92,83,100,5.2,CA,1667886650
44,acapulco,16.8634,-99.8901,26.31,88,46,1.65,MX,1667886548
45,jamestown,42.097,-79.2353,6.77,75,0,3.09,US,1667886650
46,salalah,17.0151,54.0924,27.42,55,0,2.03,OM,1667886651
47,ust-maya,60.4167,134.5333,-16.86,94,100,0.88,RU,1667886651
48,vaini,-21.2,-175.2,26.09,73,20,3.6,TO,1667886651
49,kungurtug,50.5994,97.5228,2.24,56,94,0.55,RU,1667886652
50,pacific grove,36.6177,-121.9166,12.1,81,100,5.14,US,1667886652
51,karaton,-6.3424,106.1045,28.29,73,97,1.02,ID,1667886652
52,busselton,-33.65,115.3333,20.65,56,79,4.46,AU,1667886653
53,takoradi,4.8845,-1.7554,25.32,85,91,0.78,GH,1667886174
54,banjar,-8.19,114.9675,29.7,73,100,0.26,ID,1667886653
55,sitka,57.0531,-135.33,-2.74,46,23,2.56,US,1667886654
56,atuona,-9.8,-139.0333,25.03,72,99,5.59,PF,1667886654
57,biak,-0.9131,122.8766,28.46,70,96,0.99,ID,1667886654
58,puerto ayora,-0.7393,-90.3518,19.19,86,87,2.72,EC,1667886655
59,kieta,-6.2167,155.6333,28.12,82,80,3.72,PG,1667886655
60,hobart,-42.8794,147.3294,26.26,41,0,3.6,AU,1667886303
61,east london,-33.0153,27.9116,19.52,77,100,5.14,ZA,1667886656
62,kapaa,22.0752,-159.319,26.99,82,100,7.72,US,1667886656
63,zhifang,30.35,114.3167,23.99,30,8,3.7,CN,1667886656
64,alice springs,-23.7,133.8833,36.75,14,40,5.66,AU,1667886657
65,hermanus,-34.4187,19.2345,16.56,70,81,1.99,ZA,1667886657
66,sao paulo de olivenca,-3.3783,-68.8725,23.19,85,67,1.0,BR,1667886657
67,hamilton,39.1834,-84.5333,11.47,43,75,6.17,US,1667886374
68,vardo,70.3705,31.1107,1.99,87,100,2.06,NO,1667886658
69,nikolskoye,59.7035,30.7861,5.94,94,99,4.6,RU,1667886333
70,treinta y tres,-33.2333,-54.3833,10.5,97,3,2.67,UY,1667886658
71,aurdal,60.9242,9.4159,0.62,93,93,0.54,NO,1667886659
72,sakakah,29.9697,40.2064,16.76,41,24,7.14,SA,1667886659
73,mar del plata,-38.0023,-57.5575,15.49,92,0,4.47,AR,1667886461
74,tasiilaq,65.6145,-37.6368,-5.12,96,98,1.3,GL,1667886660
75,iqaluit,63.7506,-68.5145,-8.15,61,75,3.6,CA,1667886660
76,norman wells,65.282,-126.8329,-16.98,78,0,4.12,CA,1667886660
77,bere,9.3202,16.1552,23.47,40,93,2.01,TD,1667886661
78,svetlogorsk,52.6333,29.7333,6.26,96,99,3.27,BY,1667886661
79,cidreira,-30.1811,-50.2056,16.12,82,45,3.73,BR,1667886661
80,coahuayana,18.7333,-103.6833,23.01,95,29,1.21,MX,1667886662
81,udachnyy,66.4167,112.4,-21.79,100,94,0.9,RU,1667886662
82,erzin,36.9559,36.2,16.67,66,100,2.24,TR,1667886662
83,kidal,18.4411,1.4078,20.31,18,50,5.01,ML,1667886663
84,lebu,-37.6167,-73.65,11.86,85,100,4.68,CL,1667886663
85,saint anthony,45.0205,-93.218,2.53,70,0,4.63,US,1667886664
86,dubrovnik,42.6481,18.0922,12.8,82,0,3.09,HR,1667886490
87,pisco,-13.7,-76.2167,15.03,82,0,1.03,PE,1667886664
88,gewane,10.1664,40.6453,28.62,38,5,0.88,ET,1667886665
89,kaitangata,-46.2817,169.8464,14.28,74,87,1.81,NZ,1667886665
90,muros,42.7762,-9.0603,16.72,79,100,7.9,ES,1667886665
91,torbay,47.6666,-52.7314,14.31,95,100,8.75,CA,1667886666
